session,cash,position_value,equity,open_positions,exposure_pct,daily_return,running_peak,drawdown_pct,benchmark_equity
2021-12-02,161495.3854376009,0.0,161495.3854376009,0,0.0,0.0,164319.00849060089,-0.01718378828436943,220216.6991886618
2021-12-03,161495.3854376009,0.0,161495.3854376009,0,0.0,0.0,164319.00849060089,-0.01718378828436943,218296.18979151687
2021-12-06,161495.3854376009,0.0,161495.3854376009,0,0.0,0.0,164319.00849060089,-0.01718378828436943,220884.25593098486
2021-12-07,122127.1114376009,39548.4,161675.51143760092,1,0.2446158954336372,0.0011153631387790242,164319.00849060089,-0.01608759130962733,225454.4520899661
2021-12-08,4194.490537600912,157839.55000000002,162034.04053760093,4,0.9741135225432612,0.002217584449320853,164319.00849060089,-0.013905682452621766,226050.11810619282
2021-12-09,4194.490537600912,156110.5,160304.9905376009,4,0.9738343109373313,-0.01067090590510078,164319.00849060089,-0.024428202128724364,224525.00770257777
2021-12-10,42761.120311000916,118475.35,161236.4703110009,3,0.7347925055136649,0.005810672333257827,164319.00849060089,-0.018759474073727102,226635.51401869158
2021-12-13,42761.120311000916,117207.18,159968.3003110009,3,0.7326900377895667,-0.007865280091742921,164319.00849060089,-0.026477205647506365,224637.9788435863
2021-12-14,81053.67420100092,78038.67000000001,159092.34420100093,2,0.49052435798798816,-0.005475810571825668,164319.00849060089,-0.03180803205673506,223082.0581287871
2021-12-15,81053.67420100092,79046.18000000001,160099.85420100094,2,0.49373049335047936,0.006332862873194456,164319.00849060089,-0.02567660508882198,226568.75834445926
2021-12-16,80242.39723100093,78657.97,158900.3672310009,2,0.49501440034843486,-0.007492117816010668,164319.00849060089,-0.032976350754392,224571.22316935397
2021-12-17,80242.39723100093,77675.32,157917.71723100095,2,0.49187210505567963,-0.00618406374461955,164319.00849060089,-0.038956486643881454,222183.4240525829
2021-12-20,156821.37306600093,0.0,156821.37306600093,0,0.0,-0.00694250261606999,164319.00849060089,-0.04562853374951335,219821.30019513195
2021-12-21,156821.37306600093,0.0,156821.37306600093,0,0.0,0.0,164319.00849060089,-0.04562853374951335,223723.93961179006
2021-12-22,118696.94584100094,38526.25,157223.19584100094,1,0.24504176876649558,0.002562295987747154,164319.00849060089,-0.0431831515707194,225962.82222450446
2021-12-23,4763.128151000943,153212.05,157975.17815100093,4,0.9698488825475601,0.004782896734655262,164319.00849060089,-0.03860679539070383,227369.82643524697
2021-12-27,4763.128151000943,155123.84,159886.96815100094,4,0.9702094035174741,0.012101837911349778,164319.00849060089,-0.026972170659449058,230584.3689021259
2021-12-28,4763.128151000943,154786.18,159549.30815100094,4,0.9701463565953353,-0.002111866926397088,164319.00849060089,-0.029027075950697315,230394.371983157
2021-12-29,4763.128151000943,154962.37,159725.49815100094,4,0.9701792875518348,0.001104298113491442,164319.00849060089,-0.02795483238241848,230692.20499127038
2021-12-30,4763.128151000943,154648.13999999998,159411.26815100093,4,0.9701205052425208,-0.001967312693574752,164319.00849060089,-0.029867149179400518,230055.45856013143
2021-12-31,4763.128151000943,154147.78999999998,158910.91815100092,4,0.9700264260856205,-0.003138736714182966,164319.00849060089,-0.03291214077590608,229475.19769949673
2022-01-03,4763.128151000943,155490.0,160253.12815100094,4,0.9702774716103338,0.008446304480631328,164319.00849060089,-0.02474382225737756,230800.04108041487
2022-01-04,4763.128151000943,155149.26,159912.38815100095,4,0.9702141390915677,-0.002126261146546349,164319.00849060089,-0.026817471576041023,230723.01530245453
2022-01-05,41893.01667200094,114559.59,156452.60667200093,3,0.7322319035576785,-0.02163548127198911,164319.00849060089,-0.04787274394398455,226296.60059566598
2022-01-06,80105.07562200094,76327.27,156432.34562200092,2,0.4879251135467549,-0.00012950279596479763,164319.00849060089,-0.047996047085758074,226080.92841737697
2022-01-07,156235.56583200092,0.0,156235.56583200092,0,0.0,-0.0012579226452020809,164319.00849060089,-0.04919359441645083,225187.42939303684
2022-01-10,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,224910.13659237957
2022-01-11,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,226948.752182397
2022-01-12,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,227570.0934579439
